Method Name;CCM;CND;CDISP;CINT;FDP;HD;HEF;HER;HL;HVC;HVL;LOC;LAA;LND;MMI;MND;CC;NOAV;NOL;NOPM
ComplexityFactoryInlayHintsCollector.ComplexityFactoryInlayHintsCollector.<init>(ComplexityInfoProvider, Editor);0,0;0,0;0,0;0;0;0,0;0,0;0;1;0;2
ComplexityFactoryInlayHintsCollector.ComplexityFactoryInlayHintsCollector.applySinkResults(PsiElement, ComplexitySink, InlayHintsSink);0;0;1,0;3;0;3,4615;367,6091;0,0171;25;19;106,1982;7;0,0;0;67,3838;1;1;4;0;3
ComplexityFactoryInlayHintsCollector.ComplexityFactoryInlayHintsCollector.collect(PsiElement, Editor, InlayHintsSink);3;2;0,75;4;0;9,6923;1889,5191;0,0509;41;27;194,9504;8;1,0;0;64,0943;2;4;5;0;3
ComplexityFactoryInlayHintsCollector.ComplexityFactoryInlayHintsCollector.correctTextColour(InlayPresentation);0;0;1,0;2;0;3,4286;215,6828;0,012;17;13;62,9075;4;1,0;0;74,3163;0;1;2;0;1
ComplexityFactoryInlayHintsCollector.ComplexityFactoryInlayHintsCollector.equals(Any?);1;1;1,0;1;0;4,0;186,028;0,0109;14;10;46,507;3;1,0;0;77,8562;1;2;2;0;1
ComplexityFactoryInlayHintsCollector.ComplexityFactoryInlayHintsCollector.getClassComplexity(PsiElement);2;1;0,8571;7;0;10,5;2677,5;0,0643;51;32;255,0;8;0,5;0;63,3562;3;2;3;0;1
ComplexityFactoryInlayHintsCollector.ComplexityFactoryInlayHintsCollector.getPresentation(PsiElement, ComplexitySink);1;1;0,5;6;1;8,4615;1745,8126;0,0483;45;24;206,3233;9;0,6667;0;62,8892;1;2;4;0;2
ComplexityFactoryInlayHintsCollector.ComplexityFactoryInlayHintsCollector.getTextPresentation(ComplexitySink, Editor);0;0;0,6667;3;0;3,6667;315,1558;0,0154;22;15;85,9516;4;0,0;0;73,3569;0;1;1;0;2
ComplexityFactoryInlayHintsCollector.ComplexityFactoryInlayHintsCollector.hashCode();1;0;1,0;1;0;2,0;31,0196;0,0033;6;6;15,5098;1;1,0;0;91,765;0;1;1;0;0
ComplexityInfoProvider.ComplexityInfoProvider.getNameElementFor(PsiElement);0;0;0,0;0;0;0,0;0,0;0,0;0;0;0,0;0;0,0;0;0,0;0;1;0;0;1
